,time_stamp,ADMI_pitch_pos,ADMI_yaw_pos,ADMI_pitch_vel,ADMI_yaw_vel,ADMI_pitch_acc,ADMI_yaw_acc,pitch_torque,yaw_torque,task_num,target_num
3821,1733536532.2026896,-25.8800186961007,57.22002690005165,7.395917937903945,-26.68003579260144,-19.019589569372393,65.48187813178589,0.033963993191719055,-0.15344011783599854,1.0,4.0
3822,1733536532.206687,-25.850735686020997,57.11434189441075,7.320752519925785,-26.421251410224624,-18.791354494539927,64.69609559420446,0.033963993191719055,-0.15344011783599854,1.0,4.0
3823,1733536532.210693,-25.821749729673144,57.009679604649,7.246489086963363,-26.16557244043633,-18.565858240605447,63.919742447074015,0.033963993191719055,-0.15344011783599854,1.0,4.0
3824,1733536532.2146895,-25.793057262412358,56.90602775817586,7.17311681519649,-25.912961618285493,-18.343067941718182,63.15270553770913,0.033963993191719055,-0.15344011783599854,1.0,4.0
3825,1733536532.218704,-25.764654762369595,56.80337422967186,7.10062501069082,-25.663382126000467,-18.122951126417565,62.39487307125662,0.033963993191719055,-0.15344011783599854,1.0,4.0
3826,1733536532.222726,-25.736538749938237,56.70170703932137,7.029003107839218,-25.41679758762286,-17.905475712900554,61.646134594401545,0.033963993191719055,-0.15344011783599854,1.0,4.0
3827,1733536532.2268581,-25.70888665284083,56.60087358320614,6.913024274351071,-25.208364028808933,-28.994708372036786,52.10838970348137,-0.07907699048519135,-0.24142003059387207,1.0,4.0
3828,1733536532.2308383,-25.68168162250768,56.50084734459822,6.8012575832881215,-25.00655965197934,-27.941672765737383,50.45109420739847,-0.07202599942684174,-0.2517399787902832,1.0,4.0
3829,1733536532.234901,-25.654908991759907,56.401609436600666,6.693157686943128,-24.80947699938801,-27.024974086248182,49.27066314783255,-0.0662120133638382,-0.2574901580810547,1.0,4.0
3830,1733536532.2391064,-25.62856357180249,56.30315039924616,6.586354989354276,-24.614759338627778,-26.700674397213202,48.67941519005856,-0.0662120133638382,-0.2574901580810547,1.0,4.0
3831,1733536532.2432013,-25.602631535306003,56.20544731835321,6.483009124121994,-24.42577022323783,-25.836466308070605,47.24727884748734,-0.06077401340007782,-0.26596999168395996,1.0,4.0
3832,1733536532.2472084,-25.57710792166891,56.10849112244428,6.3809034092724985,-24.23904897723256,-25.52642871237376,46.6803115013175,-0.06077401340007782,-0.26596999168395996,1.0,4.0
3833,1733536532.2513413,-25.552126796186535,56.01210860863467,6.245281370593971,-24.095628452402497,-33.90550966963192,35.85513120751554,-0.14762799441814423,-0.3686201572418213,1.0,4.0
3834,1733536532.2553558,-25.527681649001018,55.916292892739186,6.111286796379585,-23.953928973870397,-33.49864355359634,35.42486963302536,-0.14762799441814423,-0.3686201572418213,1.0,4.0
3835,1733536532.259399,-25.503837742794563,55.82097096529712,5.960976551613725,-23.830481860516226,-37.57756119146496,30.861778338542344,-0.19243700802326202,-0.4100000858306885,1.0,4.0
3836,1733536532.2636552,-25.480547206681006,55.726126740782334,5.822634028388876,-23.711056128696622,-34.58563080621217,29.856432954900725,-0.16702701151371002,-0.4163501262664795,1.0,4.0
3837,1733536532.267831,-25.45782106579617,55.63175365477422,5.681535221209022,-23.593271502027264,-35.27470179496353,29.44615666733986,-0.17806799709796906,-0.4168701171875,1.0,4.0
3838,1733536532.271958,-25.435709989013368,55.53783526984301,5.527769195700738,-23.479596232802987,-38.44150637707082,28.418817306069577,-0.21396900713443756,-0.42360997200012207,1.0,4.0
3839,1733536532.2759616,-25.414206595563375,55.44436612957577,5.375848362498554,-23.367285066809398,-37.98020830054597,28.077791498396753,-0.21396900713443756,-0.42360997200012207,1.0,4.0
3840,1733536532.27998,-25.393303593246195,55.35134084303654,5.225750579294797,-23.256321634807733,-37.52444580093942,27.74085800041598,-0.21396900713443756,-0.42360997200012207,1.0,4.0
3841,1733536532.2841444,-25.372993777368237,55.25875408398058,5.0774539694894845,-23.14668976399009,-37.074152451328146,27.407967704410986,-0.21396900713443756,-0.42360997200012207,1.0,4.0
3842,1733536532.288436,-25.353412093643723,55.1666027018945,4.895420931128759,-23.037845521520694,-45.50825959018155,27.211060617348682,-0.30275897681713104,-0.4222900867462158,1.0,4.0
3843,1733536532.2924082,-25.33454980448681,55.07488147225465,4.715572289228361,-22.930307409960932,-44.962160475099374,26.8845278899405,-0.30275897681713104,-0.4222900867462158,1.0,4.0
3844,1733536532.2964153,-25.316398277162687,54.98358523323169,4.537881831030768,-22.82405975573989,-44.42261454939818,26.561913555261206,-0.30275897681713104,-0.4222900867462158,1.0,4.0
3845,1733536532.3004775,-25.29894898252936,54.892708884938216,4.362323658331547,-22.719087073369497,-43.88954317480541,26.243170592598087,-0.30275897681713104,-0.4222900867462158,1.0,4.0
3846,1733536532.304655,-25.28232730822478,54.80209657272172,4.155418576145512,-22.653078054123828,-51.726270546508765,16.50225481141708,-0.3863929957151413,-0.5165500640869141,1.0,4.0
3847,1733536532.3087542,-25.266582541974614,54.71166797627856,3.9361915625415342,-22.607149110790992,-54.80675340099437,11.482235833208886,-0.4234049767255783,-0.564769983291626,1.0,4.0
3848,1733536532.3128545,-25.251704160882213,54.62142089101945,3.7195952731008046,-22.561771314778152,-54.14907236018244,11.344449003210377,-0.4234049767255783,-0.564769983291626,1.0,4.0
3849,1733536532.316855,-25.23768176832568,54.531353138810175,3.5055981391333635,-22.516938052317464,-53.49928349186024,11.208315615171859,-0.4234049767255783,-0.564769983291626,1.0,4.0
3850,1733536532.3212686,-25.22451347810085,54.44144952749302,3.2920725562074917,-22.47590282928951,-53.381395731467926,10.258805756989009,-0.4286460131406784,-0.5729200839996338,1.0,4.0
3851,1733536532.3253412,-25.212151639398932,54.3516759435937,3.090459675479367,-22.443395974830224,-50.403220182031134,8.126713614821645,-0.4052700251340866,-0.5930099487304688,1.0,4.0
3852,1733536532.329622,-25.200574352320878,54.26202695448401,2.8943217695134615,-22.412247277423035,-49.0344764914764,7.787174351797798,-0.397630974650383,-0.5954301357269287,1.0,4.0
3853,1733536532.3335106,-25.18978895429951,54.17250280910606,2.6963495053423645,-22.381036344487267,-49.49306604277424,7.802733233941461,-0.40810100734233856,-0.5943400859832764,1.0,4.0
3854,1733536532.3375177,-25.179785942666143,54.08310200933507,2.5007529083413207,-22.35019994274673,-48.89914925026095,7.709100435134164,-0.40810100734233856,-0.5943400859832764,1.0,4.0
3855,1733536532.3417218,-25.17057672718119,53.993826674953574,2.3023038712382373,-22.318833595374688,-49.61225927577088,7.8415868430106945,-0.4211000055074692,-0.5920901298522949,1.0,4.0
3856,1733536532.3459709,-25.162236062304906,53.904654644554135,2.0851662190708695,-22.293007599859585,-54.284413041841994,6.456498878775429,-0.4737750142812729,-0.6050000190734863,1.0,4.0
3857,1733536532.3501568,-25.15475352542999,53.815584678488975,1.87063421872951,-22.267491516290665,-53.6330000853399,6.379020892230125,-0.4737750142812729,-0.6050000190734863,1.0,4.0
3858,1733536532.3541093,-25.14812187821689,53.726618160094596,1.6579118032742046,-22.241629598594443,-53.18060386382631,6.465479424055098,-0.47568701207637787,-0.603369951248169,1.0,4.0
3859,1733536532.3582864,-25.142330909989674,53.63775384799895,1.447742056804363,-22.216078023910576,-52.542436617460396,6.3878936709664265,-0.47568701207637787,-0.603369951248169,1.0,4.0
